Time - Voltage	Amplitude - Voltage	
4	34.7	-1.753
4	34.7	-2.205
4	34.7	-2.041
4	34.7	-2.114
4	34.7	-2.1
4	34.7	-2.009
4	34.8	-2.158
4	34.8	-2.075
4	34.8	-2.28
4	34.8	-1.868
4	34.8	-2.361
4	34.8	-2.244
4	34.8	-2.344
4	34.8	-2.014
4	34.8	-1.956
4	34.8	-2.017
4	34.8	-2.48
4	34.9	-2.234
4	34.9	-1.721
4	34.9	-2.119
4	34.9	-2.156
4	34.9	-2.676
4	34.9	-2.366
4	34.9	-2.209
4	34.9	-2.117
4	34.9	-2.427
4	34.9	-2.593
4	34.9	-2.664
4	35	-2.363
4	35	-1.98
4	35	-2.515
4	35	-2.388
4	35	-2.512
4	35	-2.056
4	35	-2.187
4	35	-2.854
4	35	-3.184
4	35	-2.664
4	35	-2.19
4	35.1	-2.92
4	35.1	-3.252
4	35.1	-3.293
4	35.1	-2.402
4	35.1	-2.234
4	35.1	-2.698
4	35.1	-3.167
4	35.1	-2.717
4	35.1	-2.488
4	35.1	-2.241
4	35.1	-2.356
4	35.2	-2.847
4	35.2	-3.076
4	35.2	-2.82
4	35.2	-2.026
4	35.2	-2.393
4	35.2	-2.856
4	35.2	-2.507
4	35.2	-2.354
4	35.2	-2.739
4	35.2	-2.573
4	35.2	-3.245
4	35.3	-3.311
4	35.3	-3.076
4	35.3	-2.505
4	35.3	-2.839
4	35.3	-3.191
4	35.3	-2.546
4	35.3	-2.278
4	35.3	-2.48
4	35.3	-2.944
4	35.3	-3.008
4	35.3	-3.025
4	35.4	-2.598
4	35.4	-2.683
4	35.4	-3.052
4	35.4	-3.269
4	35.4	-3.318
4	35.4	-2.861
4	35.4	-3.042
4	35.4	-2.986
4	35.4	-3.103
4	35.4	-3.013
4	35.4	-2.856
4	35.5	-2.415
4	35.5	-2.759
4	35.5	-2.947
4	35.5	-3.362
4	35.5	-3.274
4	35.5	-2.214
4	35.5	-2.549
4	35.5	-2.903
4	35.5	-3.281
4	35.5	-2.671
4	35.5	-2.429
4	35.6	-3.074
4	35.6	-3.638
4	35.6	-2.812
4	35.6	-2.695
4	35.6	-2.876
4	35.6	-2.927
4	35.6	-3.022
4	35.6	-2.866
4	35.6	-2.668
4	35.6	-2.129
4	35.7	-2.446
4	35.7	-2.747
4	35.7	-2.717
4	35.7	-2.405
4	35.7	-2.524
4	35.7	-3.245
4	35.7	-3.411
4	35.7	-3.069
4	35.7	-2.712
4	35.7	-2.695
4	35.7	-3.103
4	35.8	-3.425
4	35.8	-2.839
4	35.8	-2.937
4	35.8	-2.893
4	35.8	-3.069
