Time - Voltage	Amplitude - Voltage	
7	26.2	-1.66
7	26.2	-2.024
7	26.2	-1.301
7	26.2	-1.279
7	26.3	-1.096
7	26.3	-1.021
7	26.3	-1.523
7	26.3	-1.436
7	26.3	-1.013
7	26.3	-0.793
7	26.3	-0.71
7	26.3	-1.311
7	26.3	-1.165
7	26.3	-0.684
7	26.4	-1.05
7	26.4	-1.133
7	26.4	-1.294
7	26.4	-1.204
7	26.4	-1.079
7	26.4	-0.75
7	26.4	-0.83
7	26.4	-1.016
7	26.4	-1.614
7	26.4	-1.108
7	26.4	-0.588
7	26.5	-1.096
7	26.5	-1.038
7	26.5	-0.93
7	26.5	-0.618
7	26.5	-0.654
7	26.5	-0.991
7	26.5	-1.589
7	26.5	-0.937
7	26.5	-0.664
7	26.5	-0.92
7	26.5	-1.426
7	26.5	-1.562
7	26.6	-1.367
7	26.6	-0.669
7	26.6	-0.957
7	26.6	-1.321
7	26.6	-1.047
7	26.6	-1.199
7	26.6	-0.684
7	26.6	-0.513
7	26.6	-1.06
7	26.6	-1.101
7	26.6	-0.881
7	26.7	-0.645
7	26.7	-0.627
7	26.7	-0.911
7	26.7	-0.962
7	26.7	-0.847
7	26.7	-0.864
7	26.7	-0.889
7	26.7	-0.947
7	26.7	-1.008
7	26.7	-0.725
7	26.7	-0.52
7	26.8	-0.649
7	26.8	-0.73
7	26.8	-0.574
7	26.8	-0.564
7	26.8	-0.562
7	26.8	-0.496
7	26.8	-0.798
7	26.8	-0.757
7	26.8	-0.713
7	26.8	-0.474
7	26.9	-0.452
7	26.9	-1.025
7	26.9	-1.226
7	26.9	-0.596
7	26.9	-0.649
7	26.9	-0.84
7	26.9	-0.859
7	26.9	-0.918
7	26.9	-0.657
7	26.9	-0.586
7	26.9	-0.615
7	27	-0.488
7	27	-0.676
7	27	-0.62
7	27	-0.464
7	27	-0.461
7	27	-0.603
7	27	-0.735
7	27	-0.728
7	27	-0.43
7	27	-0.425
7	27	-0.5
7	27.1	-0.532
7	27.1	-0.427
7	27.1	-0.444
7	27.1	-0.564
7	27.1	-0.452
7	27.1	-0.435
7	27.1	-0.886
7	27.1	-1.841
7	27.1	-1.633
7	27.1	-1.606
7	27.1	-1.79
7	27.2	-2.932
7	27.2	-3.733
7	27.2	-3.696
7	27.2	-3.928
7	27.2	-3.989
7	27.2	-4.382
7	27.2	-4.546
7	27.2	-4.534
7	27.2	-4.482
7	27.2	-4.543
7	27.2	-4.465
7	27.3	-4.243
7	27.3	-4.167
7	27.3	-4.258
7	27.3	-4.287
7	27.3	-3.97
7	27.3	-3.977
7	27.3	-3.838
7	27.3	-4.048
7	27.3	-3.794
7	27.3	-3.049
7	27.4	-2.979
7	27.4	-3.389
7	27.4	-3.948
7	27.4	-3.633
7	27.4	-2.903
7	27.4	-2.214
7	27.4	-3.069
7	27.4	-2.961
7	27.4	-2.126
7	27.4	-2.161
7	27.4	-1.433
7	27.5	-1.624
7	27.5	-1.765
7	27.5	-1.389
7	27.5	-1.362
7	27.5	-1.191
7	27.5	-1.104
7	27.5	-1.362
7	27.5	-1.06
7	27.5	-0.884
7	27.5	-0.767
7	27.5	-0.759
