Time - Voltage	Amplitude - Voltage	
2	9.3	-2.205
2	9.3	-2.039
2	9.3	-2.246
2	9.4	-2.112
2	9.4	-1.992
2	9.4	-1.714
2	9.4	-1.562
2	9.4	-1.23
2	9.4	-1.174
2	9.4	-1.27
2	9.4	-1.438
2	9.4	-1.267
2	9.4	-1.169
2	9.5	-1.274
2	9.5	-1.191
2	9.5	-1.379
2	9.5	-1.421
2	9.5	-1.709
2	9.5	-1.567
2	9.5	-1.685
2	9.5	-1.76
2	9.5	-1.907
2	9.5	-1.726
2	9.5	-1.638
2	9.6	-1.731
2	9.6	-1.951
2	9.6	-2.136
2	9.6	-1.763
2	9.6	-1.443
2	9.6	-1.46
2	9.6	-1.748
2	9.6	-1.685
2	9.6	-1.86
2	9.6	-1.494
2	9.6	-1.636
2	9.7	-2.107
2	9.7	-2.471
2	9.7	-2.517
2	9.7	-1.987
2	9.7	-2.446
2	9.7	-2.659
2	9.7	-2.874
2	9.7	-2.319
2	9.7	-2.415
2	9.7	-2.08
2	9.7	-2.029
2	9.8	-2.036
2	9.8	-1.655
2	9.8	-1.67
2	9.8	-1.692
2	9.8	-1.914
2	9.8	-2.068
2	9.8	-1.582
2	9.8	-1.489
2	9.8	-1.814
2	9.8	-2.144
2	9.8	-3.018
2	9.9	-2.622
2	9.9	-2.275
2	9.9	-2.336
2	9.9	-2.585
2	9.9	-2.112
2	9.9	-1.357
2	9.9	-1.223
2	9.9	-1.479
2	9.9	-2.161
2	9.9	-2.622
2	10	-3.535
2	10	-3.704
2	10	-3.73
2	10	-3.743
2	10	-3.684
2	10	-3.655
2	10	-3.669
2	10	-3.572
2	10	-3.081
2	10	-2.744
2	10	-1.667
2	10.1	-1.243
2	10.1	-1.223
2	10.1	-1.304
2	10.1	-1.187
2	10.1	-1.089
2	10.1	-1.094
2	10.1	-1.487
2	10.1	-1.714
2	10.1	-1.985
2	10.1	-2.786
2	10.1	-3.186
2	10.2	-3.647
2	10.2	-3.704
2	10.2	-3.73
2	10.2	-3.726
2	10.2	-3.606
2	10.2	-3.125
2	10.2	-2.534
2	10.2	-1.521
2	10.2	-1.082
2	10.2	-1.101
2	10.2	-1.111
2	10.2	-1.096
2	10.3	-1.086
2	10.3	-1.167
2	10.3	-1.389
2	10.3	-1.975
2	10.3	-2.915
2	10.3	-3.535
2	10.3	-3.538
2	10.3	-3.547
2	10.3	-3.618
2	10.3	-3.674
2	10.3	-3.235
2	10.4	-2.458
2	10.4	-1.597
2	10.4	-1.24
2	10.4	-1.265
2	10.4	-1.094
2	10.4	-1.155
2	10.4	-1.084
2	10.4	-1.167
2	10.4	-1.379
2	10.4	-1.582
2	10.5	-1.826
2	10.5	-2.578
2	10.5	-2.979
2	10.5	-3.367
2	10.5	-3.442
2	10.5	-3.354
2	10.5	-3.281
2	10.5	-3.274
2	10.5	-3.296
2	10.5	-2.861
2	10.5	-2.393
2	10.6	-1.729
2	10.6	-1.252
2	10.6	-1.218
2	10.6	-1.145
2	10.6	-1.125
2	10.6	-1.162
2	10.6	-1.611
2	10.6	-1.938
2	10.6	-2.261
2	10.6	-2.529
2	10.6	-3.428
2	10.7	-3.518
2	10.7	-3.55
2	10.7	-3.616
2	10.7	-2.71
2	10.7	-1.963
2	10.7	-1.897
2	10.7	-1.638
2	10.7	-1.128
2	10.7	-1.147
2	10.7	-1.196
2	10.7	-1.094
2	10.8	-1.094
2	10.8	-1.096
2	10.8	-1.248
2	10.8	-1.589
2	10.8	-2.17
2	10.8	-2.314
2	10.8	-2.893
2	10.8	-3.105
2	10.8	-3.232
2	10.8	-3.201
2	10.8	-3.118
2	10.9	-2.839
2	10.9	-2.175
2	10.9	-2.126
2	10.9	-1.929
2	10.9	-1.587
2	10.9	-1.377
2	10.9	-1.243
2	10.9	-1.321
2	10.9	-1.675
2	10.9	-1.445
2	11	-1.655
2	11	-2.434
2	11	-3.152
2	11	-3.32
2	11	-3.154
2	11	-2.952
2	11	-3.101
2	11	-3.208
2	11	-2.5
2	11	-1.904
2	11	-1.562
2	11.1	-1.467
2	11.1	-1.248
2	11.1	-1.13
2	11.1	-1.106
2	11.1	-1.216
2	11.1	-1.277
2	11.1	-1.492
2	11.1	-1.836
2	11.1	-2.161
2	11.1	-2.554
2	11.1	-2.859
2	11.2	-3.132
2	11.2	-3.188
2	11.2	-3.118
2	11.2	-2.932
2	11.2	-3.035
2	11.2	-2.756
2	11.2	-2.297
2	11.2	-1.99
2	11.2	-1.55
2	11.2	-1.714
2	11.2	-1.848
2	11.3	-1.721
2	11.3	-1.443
2	11.3	-1.716
2	11.3	-2.034
2	11.3	-2.49
2	11.3	-2.563
2	11.3	-2.585
2	11.3	-3.035
2	11.3	-3.174
2	11.3	-3.376
2	11.3	-3.171
2	11.4	-2.942
2	11.4	-2.52
2	11.4	-2.358
2	11.4	-2.014
2	11.4	-1.616
2	11.4	-1.277
2	11.4	-1.316
2	11.4	-1.621
2	11.4	-1.86
2	11.4	-1.816
2	11.4	-1.606
2	11.5	-1.726
2	11.5	-2.373
2	11.5	-2.8
2	11.5	-2.773
2	11.5	-2.734
2	11.5	-2.964
2	11.5	-2.827
2	11.5	-2.605
2	11.5	-2
2	11.5	-1.819
2	11.5	-1.704
2	11.6	-1.768
2	11.6	-1.299
2	11.6	-1.238
2	11.6	-1.147
2	11.6	-1.211
2	11.6	-1.34
2	11.6	-1.489
2	11.6	-1.553
2	11.6	-1.536
2	11.6	-1.582
2	11.6	-2.048
2	11.7	-2.305
2	11.7	-1.965
2	11.7	-1.846
2	11.7	-1.726
2	11.7	-1.609
2	11.7	-1.338
2	11.7	-1.218
2	11.7	-1.15
2	11.7	-1.143
2	11.7	-1.086
2	11.7	-1.091
2	11.8	-1.089
2	11.8	-1.086
2	11.8	-1.084
2	11.8	-1.104
2	11.8	-1.245
2	11.8	-1.221
2	11.8	-1.199
2	11.8	-1.106
2	11.8	-1.287
2	11.8	-1.484
2	11.8	-1.301
2	11.9	-1.445
2	11.9	-1.272
2	11.9	-1.309
2	11.9	-1.279
2	11.9	-1.306
2	11.9	-1.143
2	11.9	-1.123
2	11.9	-1.179
2	11.9	-1.301
2	11.9	-1.323
2	12	-1.235
2	12	-1.504
2	12	-1.946
2	12	-2.129
2	12	-1.685
2	12	-1.575
2	12	-1.641
2	12	-1.934
2	12	-1.824
2	12	-1.572
2	12	-1.194
2	12.1	-1.262
2	12.1	-1.257
2	12.1	-1.15
2	12.1	-1.079
2	12.1	-1.086
2	12.1	-1.077
2	12.1	-1.218
2	12.1	-1.445
2	12.1	-1.458
2	12.1	-1.892
2	12.1	-1.919
2	12.2	-1.841
2	12.2	-2.185
2	12.2	-2.114
2	12.2	-1.899
2	12.2	-1.899
2	12.2	-1.531
2	12.2	-1.597
2	12.2	-1.375
2	12.2	-1.108
2	12.2	-1.094
2	12.2	-1.101
2	12.3	-1.16
2	12.3	-1.282
2	12.3	-1.138
2	12.3	-1.086
2	12.3	-1.311
2	12.3	-1.438
2	12.3	-1.211
2	12.3	-1.274
2	12.3	-1.416
2	12.3	-1.433
2	12.3	-1.34
2	12.4	-1.438
2	12.4	-1.128
2	12.4	-1.13
2	12.4	-1.089
2	12.4	-1.094
2	12.4	-1.089
2	12.4	-1.201
2	12.4	-1.165
2	12.4	-1.086
2	12.4	-1.189
2	12.4	-1.118
2	12.5	-1.091
2	12.5	-1.086
2	12.5	-1.318
2	12.5	-1.389
2	12.5	-1.238
2	12.5	-1.145
2	12.5	-1.235
2	12.5	-1.267
2	12.5	-1.121
2	12.5	-1.16
2	12.5	-1.089
2	12.6	-1.123
2	12.6	-1.204
2	12.6	-1.326
2	12.6	-1.15
2	12.6	-1.125
2	12.6	-1.233
2	12.6	-1.443
2	12.6	-1.472
2	12.6	-1.406
2	12.6	-1.458
2	12.6	-1.753
2	12.7	-1.765
2	12.7	-1.653
2	12.7	-1.516
2	12.7	-1.331
2	12.7	-1.357
2	12.7	-1.257
2	12.7	-1.204
2	12.7	-1.157
2	12.7	-1.118
2	12.7	-1.162
2	12.7	-1.152
2	12.8	-1.138
2	12.8	-1.155
2	12.8	-1.377
2	12.8	-1.589
2	12.8	-1.819
2	12.8	-2.053
2	12.8	-1.96
2	12.8	-1.892
2	12.8	-2.209
2	12.8	-2.229
2	12.8	-1.956
2	12.9	-1.843
2	12.9	-1.821
2	12.9	-1.819
2	12.9	-1.614
2	12.9	-1.438
2	12.9	-1.482
2	12.9	-1.533
2	12.9	-1.609
2	12.9	-1.621
2	12.9	-1.86
2	13	-1.787
2	13	-1.851
2	13	-2.251
2	13	-2.38
2	13	-1.921
2	13	-1.956
2	13	-2.078
2	13	-2.234
2	13	-1.965
2	13	-1.702
2	13	-1.528
2	13.1	-1.355
2	13.1	-1.694
2	13.1	-1.821
2	13.1	-1.438
2	13.1	-1.377
2	13.1	-1.699
2	13.1	-1.897
2	13.1	-1.907
2	13.1	-1.653
2	13.1	-1.899
2	13.1	-2.18
2	13.2	-2.512
2	13.2	-2.227
2	13.2	-1.729
2	13.2	-2.07
2	13.2	-2.268
2	13.2	-2.363
2	13.2	-1.79
2	13.2	-1.506
2	13.2	-1.655
2	13.2	-2.324
2	13.2	-2.28
2	13.3	-1.636
2	13.3	-1.885
2	13.3	-2.007
2	13.3	-2.415
2	13.3	-2.095
2	13.3	-1.787
2	13.3	-1.917
2	13.3	-2.063
2	13.3	-1.726
2	13.3	-1.931
2	13.3	-1.819
2	13.4	-1.409
2	13.4	-1.765
2	13.4	-1.863
2	13.4	-2.024
2	13.4	-1.516
2	13.4	-1.184
2	13.4	-1.23
2	13.4	-1.602
2	13.4	-1.289
2	13.4	-1.223
2	13.5	-1.313
2	13.5	-1.189
2	13.5	-1.35
2	13.5	-1.443
2	13.5	-1.375
2	13.5	-1.301
2	13.5	-1.333
2	13.5	-1.362
2	13.5	-1.489
2	13.5	-1.14
2	13.5	-1.113
2	13.6	-1.248
2	13.6	-1.36
2	13.6	-1.145
2	13.6	-1.111
2	13.6	-1.125
2	13.6	-1.218
2	13.6	-1.484
2	13.6	-1.592
2	13.6	-1.472
2	13.6	-1.265
2	13.6	-1.602
2	13.6	-1.838
2	13.7	-1.914
2	13.7	-1.56
2	13.7	-1.462
2	13.7	-1.826
2	13.7	-1.86
2	13.7	-1.89
2	13.7	-1.455
2	13.7	-1.458
2	13.7	-1.699
2	13.7	-1.816
2	13.7	-1.875
